Word	60_70	70_80	80_90	90_00	Frequency
one	0.7963	0.7973	0.7997	0.8001	307591
banish	0.7329	0.7305	0.7940	0.7928	1075
designate	0.7916	0.7872	0.7921	0.7890	1385
progressive	0.7814	0.7795	0.7783	0.7824	1659
indirect	0.7652	0.7631	0.7785	0.7803	1188
form	0.7773	0.7766	0.7772	0.7801	30140
neutral	0.7654	0.7641	0.7698	0.7792	1345
traditionally	0.7728	0.7713	0.7763	0.7791	1228
subsequently	0.7789	0.7788	0.7800	0.7781	1016
savage	0.7736	0.7727	0.7775	0.7776	1646
pointed	0.7785	0.7781	0.7782	0.7772	1038
truly	0.7747	0.7742	0.7755	0.7766	4727
mere	0.7708	0.7711	0.7742	0.7762	10512
lead	0.7720	0.7743	0.7777	0.7756	34703
heate	0.7784	0.7766	0.7776	0.7729	1436
officially	0.7750	0.7767	0.7741	0.7713	1351
dutch	0.7359	0.7463	0.7518	0.7706	2195
strong	0.7685	0.7686	0.7702	0.7694	17493
already	0.7700	0.7692	0.7705	0.7690	30272
appropriate	0.7757	0.7705	0.7700	0.7687	4396
consistently	0.7573	0.7646	0.7713	0.7685	1091
temporary	0.7620	0.7637	0.7659	0.7672	2249
chile	0.7155	0.7109	0.7399	0.7669	1128
mode	0.7661	0.7635	0.7673	0.7659	3071
awkward	0.7663	0.7668	0.7672	0.7658	2262
universal	0.7564	0.7538	0.7643	0.7655	2702
select	0.7710	0.7718	0.7733	0.7633	4906
compact	0.7689	0.7685	0.7692	0.7626	1231
therefore	0.7680	0.7646	0.7656	0.7626	7543
late	0.7602	0.7639	0.7651	0.7625	62591
peaceful	0.7624	0.7590	0.7623	0.7616	1845
general	0.7561	0.7575	0.7614	0.7615	30839
tip	0.7684	0.7713	0.7709	0.7614	5792
evidently	0.7647	0.7672	0.7644	0.7594	1070
shorter	0.7561	0.7547	0.7584	0.7585	1560
net	0.7651	0.7653	0.7645	0.7585	3992
than	0.7566	0.7573	0.7591	0.7583	143719
narrow	0.7568	0.7581	0.7589	0.7578	7704
relative	0.7591	0.7537	0.7572	0.7570	7665
char	0.7256	0.7368	0.7616	0.7568	2023
productive	0.7537	0.7534	0.7573	0.7564	1355
sw	0.7464	0.7549	0.7635	0.7557	1634
dramatic	0.7501	0.7517	0.7540	0.7556	3010
positive	0.7610	0.7558	0.7544	0.7554	4700
restrain	0.7514	0.7471	0.7516	0.7553	1284
reverse	0.7546	0.7512	0.7539	0.7548	2996
produce	0.7558	0.7566	0.7566	0.7548	17608
ten	0.7554	0.7570	0.7566	0.7546	19077
fresh	0.7557	0.7587	0.7616	0.7546	8391
quick	0.7543	0.7551	0.7559	0.7544	8132
tilt	0.7585	0.7582	0.7602	0.7543	1805
underground	0.7567	0.7571	0.7568	0.7536	2106
back	0.7509	0.7515	0.7522	0.7529	143154
quickly	0.7492	0.7514	0.7519	0.7528	14539
dazzle	0.7628	0.7655	0.7671	0.7528	1377
note	0.7265	0.7293	0.7537	0.7522	17251
seventeen	0.7504	0.7499	0.7520	0.7521	2006
collective	0.7402	0.7383	0.7462	0.7517	2143
share	0.7519	0.7599	0.7572	0.7515	18476
clear	0.7457	0.7466	0.7478	0.7514	20532
host	0.7307	0.7356	0.7492	0.7514	3693
dedicate	0.7440	0.7459	0.7500	0.7512	1901
twist	0.7494	0.7489	0.7517	0.7512	4526
drew	0.7640	0.7397	0.7618	0.7509	1199
nearly	0.7482	0.7493	0.7506	0.7505	14997
attribute	0.7429	0.7460	0.7493	0.7503	2096
pleasant	0.7423	0.7414	0.7477	0.7501	2945
